# Histogram data for LaTeX/PGFPlots
# Generated from: CAE2D1D Reconstruction Error Histogram
# Total samples: 3802693632
# Mean: 1.477238e-02, Std: 1.595112e-02
# Bin_center Density
2.226411e-04 7.952423e+01
6.679232e-04 7.466304e+01
1.113205e-03 7.503106e+01
1.558488e-03 7.506911e+01
2.003770e-03 7.423038e+01
2.449052e-03 7.254711e+01
2.894334e-03 7.059625e+01
3.339616e-03 6.790679e+01
3.784899e-03 6.369578e+01
4.230181e-03 5.858015e+01
4.675463e-03 5.360883e+01
5.120745e-03 4.960254e+01
5.566027e-03 4.611076e+01
6.011309e-03 4.308756e+01
6.456592e-03 4.036491e+01
6.901874e-03 3.795070e+01
7.347156e-03 3.577849e+01
7.792438e-03 3.388413e+01
8.237720e-03 3.219279e+01
8.683003e-03 3.070324e+01
9.128285e-03 2.936421e+01
9.573567e-03 2.818363e+01
1.001885e-02 2.713346e+01
1.046413e-02 2.617328e+01
1.090941e-02 2.530958e+01
1.135470e-02 2.450533e+01
1.179998e-02 2.378373e+01
1.224526e-02 2.311242e+01
1.269054e-02 2.249759e+01
1.313582e-02 2.190595e+01
1.358111e-02 2.136777e+01
1.402639e-02 2.084447e+01
1.447167e-02 2.034737e+01
1.491695e-02 1.988552e+01
1.536223e-02 1.942922e+01
1.580752e-02 1.899039e+01
1.625280e-02 1.855948e+01
1.669808e-02 1.815664e+01
1.714336e-02 1.774155e+01
1.758865e-02 1.735175e+01
1.803393e-02 1.695875e+01
1.847921e-02 1.658362e+01
1.892449e-02 1.621449e+01
1.936977e-02 1.584325e+01
1.981506e-02 1.549528e+01
2.026034e-02 1.514262e+01
2.070562e-02 1.480720e+01
2.115090e-02 1.446583e+01
2.159619e-02 1.414729e+01
2.204147e-02 1.382309e+01
2.248675e-02 1.352251e+01
2.293203e-02 1.320787e+01
2.337731e-02 1.291092e+01
2.382260e-02 1.262233e+01
2.426788e-02 1.233093e+01
2.471316e-02 1.206005e+01
2.515844e-02 1.178577e+01
2.560373e-02 1.152540e+01
2.604901e-02 1.125403e+01
2.649429e-02 1.101122e+01
2.693957e-02 1.075922e+01
2.738485e-02 1.052612e+01
2.783014e-02 1.028532e+01
2.827542e-02 1.005781e+01
2.872070e-02 9.835324e+00
2.916598e-02 9.614419e+00
2.961126e-02 9.409413e+00
3.005655e-02 9.192804e+00
3.050183e-02 8.993943e+00
3.094711e-02 8.789797e+00
3.139239e-02 8.593998e+00
3.183768e-02 8.391914e+00
3.228296e-02 8.205898e+00
3.272824e-02 8.002034e+00
3.317352e-02 7.819517e+00
3.361880e-02 7.636685e+00
3.406408e-02 7.450128e+00
3.450937e-02 7.276983e+00
3.495465e-02 7.094168e+00
3.539993e-02 6.921630e+00
3.584521e-02 6.748307e+00
3.629050e-02 6.581768e+00
3.673578e-02 6.409038e+00
3.718106e-02 6.255531e+00
3.762634e-02 6.093283e+00
3.807162e-02 5.939989e+00
3.851691e-02 5.794197e+00
3.896219e-02 5.642674e+00
3.940747e-02 5.508167e+00
3.985275e-02 5.362512e+00
4.029804e-02 5.236139e+00
4.074332e-02 5.099796e+00
4.118860e-02 4.977997e+00
4.163388e-02 4.850422e+00
4.207917e-02 4.736781e+00
4.252445e-02 4.614728e+00
4.296973e-02 4.497511e+00
4.341501e-02 4.391320e+00
4.386029e-02 4.275900e+00
4.430558e-02 4.172695e+00
4.475086e-02 4.064147e+00
4.519614e-02 3.958940e+00
4.564142e-02 3.849866e+00
4.608671e-02 3.756966e+00
4.653199e-02 3.652071e+00
4.697727e-02 3.553341e+00
4.742255e-02 3.457269e+00
4.786783e-02 3.356617e+00
4.831312e-02 3.266085e+00
4.875840e-02 3.166916e+00
4.920368e-02 3.081056e+00
4.964896e-02 2.983751e+00
5.009425e-02 2.902090e+00
5.053953e-02 2.810060e+00
5.098481e-02 2.731635e+00
5.143009e-02 2.639832e+00
5.187538e-02 2.559705e+00
5.232066e-02 2.480763e+00
5.276594e-02 2.399389e+00
5.321122e-02 2.322858e+00
5.365650e-02 2.244660e+00
5.410178e-02 2.171825e+00
5.454706e-02 2.096946e+00
5.499235e-02 2.026252e+00
5.543763e-02 1.951870e+00
5.588291e-02 1.885308e+00
5.632819e-02 1.816916e+00
5.677348e-02 1.748222e+00
5.721876e-02 1.684032e+00
5.766404e-02 1.620924e+00
5.810932e-02 1.560365e+00
5.855460e-02 1.496316e+00
5.899989e-02 1.443137e+00
5.944517e-02 1.381201e+00
5.989045e-02 1.328663e+00
6.033573e-02 1.272338e+00
6.078102e-02 1.224701e+00
6.122630e-02 1.171832e+00
6.167158e-02 1.123031e+00
6.211686e-02 1.079522e+00
6.256215e-02 1.032645e+00
6.300743e-02 9.913479e-01
6.345271e-02 9.482097e-01
6.389800e-02 9.094813e-01
6.434327e-02 8.711158e-01
6.478855e-02 8.374240e-01
6.523384e-02 7.998011e-01
6.567912e-02 7.691948e-01
6.612440e-02 7.361978e-01
6.656969e-02 7.045693e-01
6.701496e-02 6.782582e-01
6.746025e-02 6.475674e-01
6.790553e-02 6.256827e-01
6.835081e-02 5.990166e-01
6.879610e-02 5.768986e-01
6.924137e-02 5.518271e-01
6.968667e-02 5.334551e-01
7.013194e-02 5.094363e-01
7.057722e-02 4.909724e-01
7.102251e-02 4.744028e-01
7.146779e-02 4.547586e-01
7.191307e-02 4.395671e-01
7.235835e-02 4.222371e-01
7.280363e-02 4.078177e-01
7.324892e-02 3.928338e-01
7.369420e-02 3.804718e-01
7.413948e-02 3.644498e-01
7.458477e-02 3.539548e-01
7.503004e-02 3.398325e-01
7.547533e-02 3.283957e-01
7.592061e-02 3.186351e-01
7.636589e-02 3.064032e-01
7.681118e-02 2.986266e-01
7.725646e-02 2.868884e-01
7.770174e-02 2.793911e-01
7.814702e-02 2.681337e-01
7.859230e-02 2.619528e-01
7.903759e-02 2.519940e-01
7.948287e-02 2.467586e-01
7.992814e-02 2.354610e-01
8.037344e-02 2.304772e-01
8.081871e-02 2.247551e-01
8.126400e-02 2.162232e-01
8.170928e-02 2.121027e-01
8.215456e-02 2.032430e-01
8.259985e-02 1.996228e-01
8.304513e-02 1.925557e-01
8.349040e-02 1.891904e-01
8.393569e-02 1.819766e-01
8.438097e-02 1.793473e-01
8.482625e-02 1.718825e-01
8.527154e-02 1.676021e-01
8.571681e-02 1.651483e-01
8.616211e-02 1.584500e-01
8.660738e-02 1.568366e-01
8.705267e-02 1.501656e-01
8.749795e-02 1.482857e-01
8.794323e-02 1.426942e-01
8.838852e-02 1.410979e-01
8.883379e-02 1.354401e-01
8.927907e-02 1.338392e-01
8.972436e-02 1.288654e-01
9.016964e-02 1.259438e-01
9.061492e-02 1.247630e-01
9.106021e-02 1.204291e-01
9.150548e-02 1.194375e-01
9.195077e-02 1.145842e-01
9.239605e-02 1.140836e-01
9.284133e-02 1.098603e-01
9.328662e-02 1.089697e-01
9.373190e-02 1.051103e-01
9.417718e-02 1.035458e-01
9.462246e-02 1.022632e-01
9.506774e-02 9.883194e-02
9.551303e-02 9.826559e-02
9.595831e-02 9.511312e-02
9.640359e-02 9.523047e-02
9.684888e-02 9.205456e-02
9.729415e-02 9.176577e-02
9.773944e-02 8.811014e-02
9.818472e-02 8.823091e-02
9.863000e-02 8.461455e-02
9.907529e-02 8.363421e-02
9.952056e-02 8.330054e-02
9.996585e-02 8.096087e-02
1.004111e-01 8.087979e-02
1.008564e-01 7.774032e-02
1.013017e-01 7.833266e-02
1.017470e-01 7.536335e-02
1.021923e-01 7.582273e-02
1.026375e-01 7.270984e-02
1.030828e-01 7.349648e-02
1.035281e-01 7.061095e-02
1.039734e-01 6.967667e-02
1.044187e-01 6.965245e-02
1.048640e-01 6.722462e-02
1.053092e-01 6.762680e-02
1.057545e-01 6.458054e-02
1.061998e-01 6.542574e-02
1.066451e-01 6.305578e-02
1.070904e-01 6.368061e-02
1.075356e-01 6.070574e-02
1.079809e-01 6.097107e-02
1.084262e-01 5.884088e-02
1.088715e-01 5.793141e-02
1.093168e-01 5.841193e-02
1.097621e-01 5.602150e-02
1.102073e-01 5.659199e-02
1.106526e-01 5.423680e-02
1.110979e-01 5.477750e-02
1.115432e-01 5.229028e-02
1.119885e-01 5.324700e-02
1.124337e-01 5.100224e-02
1.128790e-01 5.185235e-02
1.133243e-01 4.919333e-02
1.137696e-01 4.879587e-02
1.142149e-01 4.928132e-02
1.146602e-01 4.732358e-02
1.151054e-01 4.790550e-02
1.155507e-01 4.611587e-02
1.159960e-01 4.692140e-02
1.164413e-01 4.454908e-02
1.168866e-01 4.597431e-02
1.173318e-01 4.378547e-02
1.177771e-01 4.340692e-02
1.182224e-01 4.344944e-02
1.186677e-01 4.186033e-02
1.191130e-01 4.233858e-02
1.195583e-01 4.060348e-02
1.200036e-01 4.156729e-02
1.204488e-01 3.969585e-02
1.208941e-01 4.058517e-02
1.213394e-01 3.824238e-02
1.217847e-01 3.926997e-02
1.222300e-01 3.741798e-02
1.226752e-01 3.734058e-02
1.231205e-01 3.745988e-02
1.235658e-01 3.594979e-02
1.240111e-01 3.657697e-02
1.244564e-01 3.499365e-02
1.249017e-01 3.594624e-02
