# Histogram data for LaTeX/PGFPlots
# Generated from: case3d Reconstruction Error Histogram
# Total samples: 3802693632
# Mean: 8.363393e-03, Std: 1.031792e-02
# Bin_center Density
1.898333e-04 1.160053e+02
5.695000e-04 1.101704e+02
9.491666e-04 1.070100e+02
1.328833e-03 1.075281e+02
1.708500e-03 1.074708e+02
2.088167e-03 1.043311e+02
2.467833e-03 9.896501e+01
2.847500e-03 9.373502e+01
3.227167e-03 8.900568e+01
3.606833e-03 8.492747e+01
3.986500e-03 8.099101e+01
4.366166e-03 7.718901e+01
4.745833e-03 7.354163e+01
5.125500e-03 6.990596e+01
5.505166e-03 6.626328e+01
5.884833e-03 6.274462e+01
6.264500e-03 5.928869e+01
6.644167e-03 5.594081e+01
7.023833e-03 5.275300e+01
7.403500e-03 4.972180e+01
7.783166e-03 4.691595e+01
8.162833e-03 4.427009e+01
8.542500e-03 4.177309e+01
8.922166e-03 3.944583e+01
9.301833e-03 3.725395e+01
9.681500e-03 3.525196e+01
1.006117e-02 3.334532e+01
1.044083e-02 3.156045e+01
1.082050e-02 2.989799e+01
1.120017e-02 2.832085e+01
1.157983e-02 2.686597e+01
1.195950e-02 2.548848e+01
1.233917e-02 2.418668e+01
1.271883e-02 2.294637e+01
1.309850e-02 2.176942e+01
1.347817e-02 2.068285e+01
1.385783e-02 1.964420e+01
1.423750e-02 1.865153e+01
1.461717e-02 1.771766e+01
1.499683e-02 1.682674e+01
1.537650e-02 1.599545e+01
1.575617e-02 1.520496e+01
1.613583e-02 1.445844e+01
1.651550e-02 1.375205e+01
1.689517e-02 1.306401e+01
1.727483e-02 1.243849e+01
1.765450e-02 1.182829e+01
1.803417e-02 1.125089e+01
1.841383e-02 1.071106e+01
1.879350e-02 1.018815e+01
1.917317e-02 9.712904e+00
1.955283e-02 9.253546e+00
1.993250e-02 8.825098e+00
2.031217e-02 8.410745e+00
2.069183e-02 8.017438e+00
2.107150e-02 7.660855e+00
2.145117e-02 7.312370e+00
2.183083e-02 6.984923e+00
2.221050e-02 6.675782e+00
2.259017e-02 6.367923e+00
2.296983e-02 6.096901e+00
2.334950e-02 5.835995e+00
2.372917e-02 5.583805e+00
2.410883e-02 5.328999e+00
2.448850e-02 5.113850e+00
2.486817e-02 4.896375e+00
2.524783e-02 4.691861e+00
2.562750e-02 4.492594e+00
2.600717e-02 4.293880e+00
2.638683e-02 4.125370e+00
2.676650e-02 3.956495e+00
2.714617e-02 3.795622e+00
2.752583e-02 3.640758e+00
2.790550e-02 3.486082e+00
2.828517e-02 3.356112e+00
2.866483e-02 3.222278e+00
2.904450e-02 3.095434e+00
2.942417e-02 2.973650e+00
2.980383e-02 2.846945e+00
3.018350e-02 2.745695e+00
3.056317e-02 2.639992e+00
3.094283e-02 2.538526e+00
3.132250e-02 2.439037e+00
3.170216e-02 2.336526e+00
3.208183e-02 2.258186e+00
3.246150e-02 2.172373e+00
3.284116e-02 2.093452e+00
3.322083e-02 2.014801e+00
3.360050e-02 1.930118e+00
3.398016e-02 1.870206e+00
3.435983e-02 1.803798e+00
3.473950e-02 1.739486e+00
